食物编码,分类编码,食物名称,食物类别,大类名称,子类编码,子类名称,是否常用,是否特色,可食部分(%),水分(g),能量(kcal),能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),总胡萝卜素(μg),视黄醇(μg),硫胺素(mg),核黄素(mg),烟酸(mg),维生素C(mg),维生素E(mg),α-生育酚(mg),β+γ生育酚(mg),δ-生育酚(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(μg),铜(mg),锰(mg)
01-1-201,11201,小麦粉(标准粉),1,谷类及制品                  ,1,小麦,A,F,100,12.7,344,1439,11.2,1.5,73.6,2.1,—,1.0,—,—,—,0.28,0.08,2.0,—,1.80,1.59,…,0.21,31,188,190,3.1,50,3.5,1.64,5.36,0.42,1.56
01-1-202,11202,小麦粉(富强粉，特一粉),1,谷类及制品                  ,1,小麦,A,F,100,12.7,350,1464,10.3,1.1,75.2,0.6,—,0.7,—,—,—,0.17,0.06,2.0,—,0.73,0.51,0.22,…,27,114,128,2.7,32,2.7,0.97,6.88,0.26,0.77
01-1-302,11302,挂面(标准粉),1,谷类及制品                  ,1,小麦,A,F,100,12.4,344,1439,10.1,0.7,76.0,1.6,—,0.8,—,—,—,0.19,0.04,2.5,—,1.11,0.21,0.90,…,14,153,157,150.0,51,3.5,1.22,9.90,0.44,1.28
01-1-303,11303,挂面(富强粉),1,谷类及制品                  ,1,小麦,A,F,100,12.7,347,1452,9.6,0.6,76.0,0.3,—,1.1,—,—,—,0.20,0.04,2.4,—,0.88,0.62,0.18,0.08,21,112,122,110.6,48,3.2,0.74,11.13,0.40,0.68
01-1-304,11304,挂面(精制龙须面),1,谷类及制品                  ,1,小麦,A,,100,11.9,347,1452,11.2,0.5,74.7,0.2,—,1.7,—,—,—,0.18,0.03,2.5,—,—,—,—,—,26,137,109,292.8,48,2.3,0.87,14.28,0.33,0.81
01-1-306,11306,面条(标准粉，切面),1,谷类及制品                  ,1,小麦,A,,100,29.7,280,1172,8.5,1.6,59.5,1.5,—,0.7,—,—,—,0.35,0.10,3.1,—,0.47,…,0.47,…,13,142,161,3.4,61,2.6,1.07,0.40,0.20,1.35
01-1-307,11307,面条(富强粉，切面),1,谷类及制品                  ,1,小麦,,,100,29.2,285,1192,9.3,1.1,59.9,0.4,—,0.5,—,—,—,0.18,0.04,2.2,—,—,—,—,—,24,92,102,1.5,29,2.0,0.83,17.30,0.14,0.56
01-1-308,11308,面条(特粉，切面),1,谷类及制品                  ,1,小麦,A,,100,27.5,286,1197,7.3,0.1,64.5,0.6,—,0.6,—,—,—,0.17,0.09,0.3,—,0.47,0.09,0.38,…,3,181,128,9.7,36,4.7,1.68,15.82,0.16,0.74
01-1-309,11309,面条(富强粉，煮),1,谷类及制品                  ,1,小麦,,,100,72.6,109,456,2.7,0.2,24.3,0.1,—,0.2,—,—,—,…,0.01,1.8,—,—,—,—,—,4,25,15,26.9,10,0.5,0.21,0.20,0.04,0.20
01-1-310,11310,面条(干切面),1,谷类及制品                  ,1,小麦,,,100,10.5,355,1485,11.0,0.1,77.7,0.2,—,0.7,—,—,—,0.28,0.05,2.7,—,—,—,—,—,8,142,100,60.9,42,9.6,1.50,7.78,0.22,0.72
01-1-312,11312,通心面[通心粉],1,谷类及制品                  ,1,小麦,A,,100,11.8,350,1464,11.9,0.1,75.8,0.4,—,0.4,—,—,—,0.12,0.03,1.0,—,—,—,—,—,14,97,209,35.0,58,2.6,1.55,5.80,0.16,0.67
01-1-401,11401,花卷,1,谷类及制品                  ,1,小麦,,,100,45.7,211,883,6.4,1.0,45.6,1.5,—,1.3,—,—,—,Tr,0.02,1.1,—,—,—,—,—,19,72,83,95.0,12,0.4,…,6.17,0.09,—
01-1-403,11403,烙饼(标准粉),1,谷类及制品                  ,1,小麦,A,,100,36.4,255,1067,7.5,2.3,52.9,1.9,—,0.9,—,—,—,0.02,0.04,—,—,1.03,0.30,0.73,…,20,146,141,149.3,51,2.4,0.94,7.50,0.15,1.15
01-1-405,11405,馒头(标准粉),1,谷类及制品                  ,1,小麦,,,100,40.5,233,975,7.8,1.0,49.8,1.5,—,0.9,—,—,—,0.05,0.07,—,—,0.86,0.35,0.51,…,18,136,129,165.2,39,1.9,1.01,9.70,0.14,1.27
01-1-406,11406,馒头(富强粉),1,谷类及制品                  ,1,小麦,,,100,47.3,208,870,6.2,1.2,44.2,1.0,—,1.1,—,—,—,0.02,0.02,—,—,0.09,…,0.09,…,58,78,146,165.0,20,1.7,0.40,7.20,0.05,0.29
01-1-407,11407,烧饼(加糖),1,谷类及制品                  ,1,小麦,,,100,25.9,293,1226,8.0,2.1,62.7,2.1,—,1.3,—,—,—,Tr,0.01,1.1,—,0.39,0.21,0.18,…,51,105,122,62.5,26,1.6,0.36,12.16,0.15,—
01-1-408,11408,油饼,1,谷类及制品                  ,1,小麦,,,100,24.8,399,1669,7.9,22.9,42.4,2.0,—,2.0,—,—,—,0.11,0.05,—,—,13.72,12.21,1.38,0.13,46,124,106,572.5,13,2.3,0.97,10.60,0.27,0.71
01-1-409,11409,油条,1,谷类及制品                  ,1,小麦,A,F,100,21.8,386,1615,6.9,17.6,51.0,0.9,—,2.7,—,—,—,0.01,0.07,0.7,—,3.19,2.74,0.31,0.14,6,77,227,585.2,19,1.0,0.75,8.60,0.19,0.52
01-1-501,11501,水面筋,1,谷类及制品                  ,1,小麦,A,,100,63.5,141,590,23.5,0.1,12.3,0.9,—,0.6,—,—,—,0.10,0.07,1.1,—,0.65,0.35,0.30,…,76,133,69,15.0,26,4.2,1.76,1.00,0.19,0.86
