菜品ID,创建时间,菜名,烹饪方法,口味,制作步骤,相克食物,适用场景,口感,类别,主料,辅料,调料,推荐指数,麻辣指数,营养指数,难易指数,时间指数,减肥指数,养颜指数,菜品分类,营养成分_核黄素,营养成分_能量,营养成分_蛋白质,营养成分_脂肪,营养成分_碳水化合物,营养成分_叶酸,营养成分_膳食纤维,营养成分_胆固醇,营养成分_维生素A,营养成分_维生素B6,营养成分_维生素C,营养成分_维生素E,营养成分_胡萝卜素,营养成分_硫胺素,营养成分_烟酸,营养成分_钙,营养成分_磷,营养成分_钾,营养成分_钠,营养成分_碘,营养成分_镁,营养成分_铁,营养成分_锌,营养成分_硒,营养成分_铜,营养成分_锰,营养成分_维生素B12,营养成分_生物素,营养成分_泛酸,营养成分_维生素D,营养成分_维生素K,烹饪时长,难度等级,预估成本
101,2018-06-22 01:54:51,大盘鸡,炖,香辣,1.把鸡切寸方块，放在盆里，用酱油、盐、料酒腌渍15分钟入味；2.配菜洗切干净；3.锅中放油，下花椒，把花椒炸透；4.倒入鸡块、葱姜蒜、朝天椒，翻炒几分钟；5.倒酱油和水，水一定要没过鸡块，加砂糖，盐，料酒；6.加入蘑菇，开始焖15分钟；7.倒入土豆，继续小火煮到土豆熟为止；8.倒入青辣椒红辣椒，起上色作用；9.略微翻炒后，起锅装盘。,,中餐、晚餐主料 公鸡500克 土豆（黄皮）300克,,新菜 补虚养身食谱 营养不良食谱 健脾开胃食谱 特色菜,公鸡500克 土豆（黄皮）300克,口蘑50克 辣椒(青、尖)50克 辣椒(红、尖)50克,大葱10克 姜10克 大蒜（白皮）10克 辣椒(红、尖、干)20克 花椒15克 八角5克 桂皮5克 植物油75克,7,7,8,5,5,0,0,新菜,0.72毫克,1330.35千卡,129.94克,53.72克,111.7克,64.5微克,30.26克,530毫克,395.7微克,0.83毫克,146.4毫克,11.6毫克,932.4微克,0.76毫克,51.52毫克,289.7毫克,1899.35毫克,4392.9毫克,352.18毫克,3.6微克,320.35毫克,22.04毫克,13.24毫克,62.25微克,4.02毫克,7.18毫克,,,,,,105,5,14.7
102,2018-06-22 01:54:52,新疆炮肉,软溜,咸鲜味,1.把西红柿、柿椒、胡萝卜、洋葱洗净切片待用。2.羊肉切片入碗并加入少量精盐、蛋白、淀粉拌匀浆好，用温油滑透捞出。3.架火，在炒锅里加入底油烧热，入姜末稍煸，加入洋葱、胡萝卜片，稍煸后，加入主要原料，烹料酒，放调料，反复翻炒后，淋香油盛盘，即可食用。,番茄 西红柿忌与石榴同食。,中餐,营养丰富，味道鲜美。,新菜 特色菜 营养不良食谱 健脾开胃食谱 补虚养身食谱,羊肉(瘦)150克,番茄25克 青椒25克 粉丝40克 胡萝卜25克 洋葱（白皮）25克,姜5克 鸡蛋清30克 淀粉(豌豆)5克 料酒15克 味精3克 盐3克 香油10克 花生油50克,6,2,6,5,6,0,0,新菜,0.37毫克,922.69千卡,36.85克,66.12克,46.92克,9.59微克,1.92克,90毫克,220.65微克,0.02毫克,26.95毫克,28.87毫克,1224.75微克,0.28毫克,8.65毫克,58.31毫克,342.67毫克,836.24毫克,1580.66毫克,14.88微克,58.82毫克,11.23毫克,9.7毫克,14.79微克,0.37毫克,0.62毫克,,,,,,37,2,9.8
103,2018-06-22 01:55:00,夏河蹄筋,蒸,咸鲜味,1.将蹄筋放在柴火上燎去毛；2.然后把碱面放清水盆中，视溶解后，将蹄筋投水中刷洗干净，沥水晾干；3.锅坐火上烧热，加清油，改微火，乘凉将蹄筋加入油锅，浸泡约20 分钟，使油慢慢浸入筋内；4.油温至八成熟时，将蹄筋捞入清水锅中，用微火边烧边泡，视水烧开后，捞出用刀刮净；5.将蹄筋顺长剖二，切成3 厘米长的小段；6.切好的蹄筋段整齐地码在碗中，加食盐和其它调料，浇鸡汤半斤，上笼蒸约20 分钟，滗汤，翻扣盘中；7.将木耳和黄花水发，摘洗干净；8.将玉兰片、木耳撕碎，黄花切成小段；9.葱切段，蒜切片；10.然后把炒勺坐在火上，加清水100毫升，用葱、姜、蒜炝锅，加鸡汤250毫升，将木耳、黄花、玉兰片放入勺内，视水沸后撇去浮沫，加入味精，用淀粉勾芡；11.再浇入蹄筋盘内，淋香油上桌。,淀粉(蚕豆) 蚕豆不宜与田螺同食。,中餐、晚餐主料 羊蹄筋(生)150克,,新菜 青少年食谱 运动员食谱 私家菜 特色菜,羊蹄筋(生)150克,木耳(水发)15克 黄花菜（干）15克 淀粉(蚕豆)20克,姜3克 植物油20克 胡椒粉3克 碱5克 花椒粉3克 盐3克 味精1克 小葱10克 香油10克 大蒜（白皮）5克,6,0,6,5,4,0,0,新菜,0.21毫克,460.56千卡,56克,14.21克,29.96克,2.84微克,2.85克,87毫克,62.58微克,,4.22毫克,9.02毫克,375.6微克,0.03毫克,2.49毫克,112.3毫克,114.97毫克,261.75毫克,1503.34毫克,0.66微克,41.87毫克,7.97毫克,3.36毫克,6.76微克,0.29毫克,0.79毫克,,,,,,93,5,9.2
104,2018-06-22 01:55:02,羊肉抓饭(二),焖,咸甜味,1.大米洗净，清水浸泡；羊肉剁成大块。黄萝卜洗净去皮，切成筷子粗的条；元葱切碎。2.清油下锅，烧热撇去浮沫，洒少许盐水，喷入辣味，然后加入炼羊油，全部溶化后放入元葱稍煨，再将肉下入，炒至发红，再放入黄萝卜炒至半熟，加精盐翻炒几下，倒入清水，焖煮半小时。3.将泡好的大米捞出倒入锅内，扒平，盖上锅盖，文火煮数分钟，将上面的生米翻倒1遍（只翻大米层），用筷子扎眼再盖好，煮10分钟再翻倒1次，盖好焖煮；至水熬尽撤去旺火，用炉内余热焖半小时左右，然后拣出肉。4.将黄萝卜和米饭翻倒均匀即成。盛饭时将拣出的熟肉置饭面上。,稻米 唐•孟诜：“粳米不可同马肉食，发瘤疾。不可和苍耳食，令人卒心痛。”清•王盂英：“炒米虽香，性燥助火，非中寒便泻者忌之。”,早餐、中餐、晚餐、零食,白里有黄，油亮喷香，软硬适度，咸甜味美。以手抓食，别俱风味。,新菜 特色菜 补虚养身食谱 营养不良食谱,羊肉(瘦)350克 稻米500克,胡萝卜600克 洋葱（白皮）12克,盐12克 植物油50克 羊油50克,5,0,6,6,5,0,0,新菜,0.99毫克,2781.68千卡,114.88克,62.87克,448.08克,149.17微克,10.21克,265毫克,4183.36微克,,78.96毫克,6.4毫克,24782.4微克,1.32毫克,31.34毫克,294.02毫克,1411.68毫克,3090.82毫克,5414.75毫克,38.59微克,333.54毫克,31.84毫克,31.15毫克,40.29微克,2.45毫克,8.05毫克,,,,,,38,2,18.6
105,2018-06-22 01:55:02,香酥羊腿,软炸,炸烧味,1.选用新鲜的羊前腿进行修整，再用扦子戳些小洞，以便入味，整理好的羊腿放入盆中，加精盐、胡椒面、揉搓均匀，搓透，再加料酒、花椒、孜然粉、香叶和切碎的葱头，腌渍40分钟。2.腌好的羊腿上屉，蒸熟烂。蒸好的羊腿出屉，沥去汤汁，稍晾。鸡蛋打在碗内，加玉米淀粉，调成稀糊，再抹在羊腿上，要抹均匀。3.挂好糊的羊腿放入烧到八成热的油锅里，进行炸制，炸透至熟，捞出沥油。4.炸好的羊腿剔出骨头，垫在盘底，将肉片成大片装盘，再撒上孜然粉，即为成品。,羊前腿肉 羊肉不宜与南瓜、西瓜、鲇鱼同食，食则容易使人气滞壅满而发病；忌与梅干菜才同食；吃羊肉不可加醋，否则内热火攻心；不宜与荞麦、豆瓣酱同食。本品反半夏、菖蒲。忌铜器；吃完羊肉后不宜马上喝茶，也不宜边吃羊肉边喝茶。,中餐,色泽焦黄，外酥里嫩，鲜香味美，油而不腻，新疆风味。,新菜 肢寒畏冷食谱 营养不良食谱 补阳食谱 补虚养身食谱,羊前腿肉1500克,洋葱（白皮）250克,花椒10克 胡椒10克 香叶1克 孜然1克 鸡蛋50克 淀粉(豌豆)25克 盐75克 花生油180克,5,2,5,6,4,0,0,新菜,2.51毫克,3374.45千卡,308.18克,215.83克,59.49克,95.65微克,5.42克,292.5毫克,172.8微克,1.8毫克,20毫克,86.68毫克,70微克,1.95毫克,48.16毫克,236.2毫克,2766.1毫克,5585.85毫克,30964.4毫克,132.1微克,507.5毫克,55.64毫克,35.84毫克,97.88微克,2.07毫克,1.82毫克,,,,,,34,2,24.5
106,2018-06-22 01:55:03,烤羊肉串,明炉烤,微辣,1.将羊肉切成小厚片；2.元葱（洋葱）切碎；3.然后将羊肉片、元葱拌在一起，腌约半小时；4.再用铁签将羊肉片串成15 串；5.将专用铁槽加木炭烧燃，将肉串架在铁槽上面，撒上盐、辣椒粉和孜然粉，烤约5 分钟；6.再翻身撒上盐、辣椒粉和孜然粉，继续烤约5 分钟，至熟即成。,,中餐、晚餐,肉色红润，外焦香，里软嫩，咸鲜微辣，有一股孜然特殊香味。,新菜 特色菜,羊肉(瘦)2000克,洋葱（白皮）150克,盐40克 辣椒粉30克 孜然50克,4,5,5,5,4,0,0,新菜,3.49毫克,2479.4千卡,416.21克,81.15克,34.81克,23.4微克,14.4克,1200毫克,1161.4微克,,12毫克,11.01毫克,5652微克,3.05毫克,106.73毫克,268.6毫克,4090.7毫克,8693.5毫克,17149毫克,155.8微克,530.2毫克,85.51毫克,122.1毫克,147.78微克,2.82毫克,1.36毫克,,,,,,44,3,28.5
107,2018-06-22 01:55:11,手抓饭,蒸,清香味,1.糙米洗净泡2小时，放入高压锅中；2.水高出糙米200毫升，煮熟备用；3.土豆、洋葱、胡萝卜切丁；4.土豆、胡萝卜、洋葱在锅中翻炒，再把糙米饭铺在上面，锅中加水200毫升；5.盖好锅盖，用小火煮20分钟，就成了香喷喷的新疆手抓饭。,,中餐、晚餐,美味可口。,快餐/主食 特色菜 新菜 脚气食谱 便秘食谱,糙米1000克,土豆（黄皮）100克 洋葱（白皮）100克 胡萝卜100克,盐5克,6,0,8,8,5,0,0,新菜,0.08毫克,155千卡,4.7克,0.6克,35.6克,41.4微克,3.2克,,692微克,0.27毫克,35毫克,0.89毫克,4156微克,0.17毫克,0.9毫克,64.1毫克,112毫克,684.7毫克,2047.25毫克,2.4微克,53.1毫克,2.05毫克,0.77毫克,2.07微克,0.23毫克,0.49毫克,,,,,,63,3,18.9
108,2018-06-22 01:55:13,简涮羊肉片,涮,咸鲜味,1.羊肉洗净切成薄片，菠菜，白菜心，粉丝洗净切成条或段分别装盘，辣椒酱、芝麻油、蒜泥分别装入碟内。2.点着火锅，内放清水，精盐、绍酒，保持锅内滚沸。进食时，可根据自己的口味在面前的小碗内兑好调料，然后用筷子夹住羊肉片放入火锅内烫熟，蘸上调料，即可食用。,羊前腿肉 羊肉不宜与南瓜、西瓜、鲇鱼同食，食则容易使人气滞壅满而发病；忌与梅干菜才同食；吃羊肉不可加醋，否则内热火攻心；不宜与荞麦、豆瓣酱同食。本品反半夏、菖蒲。忌铜器；吃完羊肉后不宜马上喝茶，也不宜边吃羊肉边喝茶。,早餐、中餐、晚餐、零食,选料精细，调料繁多，滋味鲜美，食法别致，是冬令家常美味快餐。,新菜 肢寒畏冷食谱 壮腰健肾食谱 补阳食谱 冬季养生食谱,羊前腿肉1000克,菠菜500克 白菜500克 粉丝250克,辣椒酱30克 芝麻酱30克 酱油20克 盐5克 醋10克 香油30克 大蒜（白皮）30克 黄酒5克,6,6,8,7,4,0,0,新菜,2.49毫克,2533.4千卡,229.26克,69.17克,266.37克,532.57微克,18.17克,,2611.2微克,1.2毫克,317.1毫克,51.45毫克,15476微克,1.75毫克,41.06毫克,1103.35毫克,2413.35毫克,5344.3毫克,7233.97毫克,197.48微克,800.85毫克,83.05毫克,31.01毫克,76.72微克,2.19毫克,5.75毫克,,,,,,28,2,27.0
109,2018-06-22 01:55:20,羊肉抓饭(一),焖,清香味,1.大米拣去杂物，淘洗干净，放入冷水盆中浸泡1小时左右，见米粒稍涨，捞出控水。羊肉洗净，切成1.5-2厘米见方的丁。胡萝卜刮皮洗净，切成细丝。葡萄干用温水洗净。2.锅置火上，放入一半羊油，烧至七成热，下羊肉丁和部分盐，快速煸炒至肉丁变色，六七成熟时盛出。3.原锅放回火上，放入另一半羊油，烧至六七成热，下胡萝卜和余下的盐，快速煸炒几下，至半熟，放入葱丝、味精，翻炒均匀后盛出。4.另用一锅上火，放水，旺火烧开，下大米和炒好的羊肉丁、胡萝卜丝，再开，铲翻均匀，烧8-10分钟，至米粒涨开，米汤显祖收净后，用筷子插几个孔眼，盖上锅盖，用小火焖15-20分钟即可。5.食用时，将羊肉饭分份盛入碗中，分别撒上少许葡萄干。,稻米 唐•孟诜：“粳米不可同马肉食，发瘤疾。不可和苍耳食，令人卒心痛。”清•王盂英：“炒米虽香，性燥助火，非中寒便泻者忌之。”,早餐、中餐、晚餐、零食,松软清香，鲜咸不腻。,新菜 补阳食谱 壮腰健肾食谱 冬季养生食谱 补虚养身食谱,羊肉(瘦)400克 稻米500克,胡萝卜200克 葡萄干40克,羊油30克 大葱15克 盐12克 味精2克,6,0,7,7,5,0,0,新菜,0.95毫克,2668.41千卡,123.04克,46.61克,445.06克,129.82微克,6.7克,273毫克,1431.55微克,0.02毫克,28.45毫克,4.68毫克,8269.6微克,1.28毫克,31.58毫克,199.89毫克,1433.23毫克,2926.86毫克,5332.86毫克,42.3微克,307.08毫克,33.27毫克,33.35毫克,42.4微克,2.37毫克,7.31毫克,,,,,,48,3,17.4
110,2018-06-22 01:55:24,胡羊肉,蒸,五香味,1.将羊肉（羊胸脯肉）漂洗干净；2.洗净的羊肉整块投入锅中，用旺火煮约半小时，打净血沫，然后改微火；3.将花椒、小茴香、姜皮、沙姜、草果用纱布打包，用水冲去尘土；4.将调料包投入锅内，视肉煮至九成熟，捞出晾凉；5.将煮熟的羊肉切成7 厘米长，0.3 厘米厚的长条；6.将羊肉条摆放在大汤碗内，再放上葱节、姜片，加入适量原汤，调上花椒粉、食盐、味精，上笼蒸约40～50 分钟；7.蒸至肉烂而调料入味，下笼翻扣在凹盘内；8.炒勺置火上，将凹盘内的汤滗入炒勺内，投入木耳、黄花，调上酱油，用淀粉勾芡，淋香油，撒香菜、蒜苗丝，浇在羊肉上即可。,淀粉(蚕豆) 蚕豆不宜与田螺同食。,中餐、晚餐,酥软浓香,冬季养生食谱 新菜 肢寒畏冷食谱 补虚养身食谱 健脾开胃食谱 补阳食谱,羊肉(肥瘦)800克,木耳(水发)15克 黄花菜（干）15克 淀粉(蚕豆)5克 青蒜15克,盐5克 姜20克 小葱25克 香菜15克 花椒5克 茴香籽[小茴香籽]5克 沙姜5克 草果3克 香油15克 味精1克 酱油15克 花椒粉5克,6,0,7,7,3,0,0,新菜,1.29毫克,1882.58千卡,159.09克,129.82克,26.78克,29.68微克,7.49克,736毫克,311.7微克,,17.3毫克,15.06毫克,815.5微克,0.46毫克,37.95毫克,255.65毫克,1280.59毫克,2243.44毫克,3589.58毫克,1.27微克,253.97毫克,23.98毫克,27.27毫克,259.54微克,6.35毫克,1.92毫克,,,,,,85,5,15.7
